case,id,sex,deg,yrdeg,field,startyr,year,rank,admin,salary
1,1,F,Other,92,Other,95,95,Assist,0,6684.0
2,2,M,Other,91,Other,94,94,Assist,0,4743.0
3,2,M,Other,91,Other,94,95,Assist,0,4881.0
4,4,M,PhD,96,Other,95,95,Assist,0,4231.0
5,6,M,PhD,66,Other,91,91,Full,1,11182.0
6,6,M,PhD,66,Other,91,92,Full,1,11507.0
7,6,M,PhD,66,Other,91,93,Full,0,11840.0
8,6,M,PhD,66,Other,91,94,Full,0,11840.0
9,6,M,PhD,66,Other,91,95,Full,0,12184.0
10,7,M,PhD,70,Other,71,76,Assist,0,1730.0
11,7,M,PhD,70,Other,71,77,Assist,0,1851.0
12,7,M,PhD,70,Other,71,78,Assist,0,1981.0
13,7,M,PhD,70,Other,71,79,Assoc,0,2237.0
14,7,M,PhD,70,Other,71,80,Assoc,0,2410.0
15,7,M,PhD,70,Other,71,81,Assoc,0,2639.0
16,7,M,PhD,70,Other,71,82,Assoc,0,2639.0
17,7,M,PhD,70,Other,71,83,Assoc,0,2784.0
18,7,M,PhD,70,Other,71,84,Assoc,0,2973.0
19,7,M,PhD,70,Other,71,85,Assoc,0,2973.0
20,7,M,PhD,70,Other,71,86,Assoc,0,3063.0
21,7,M,PhD,70,Other,71,87,Assoc,0,3217.0
22,7,M,PhD,70,Other,71,88,Assoc,0,3406.0
23,7,M,PhD,70,Other,71,89,Assoc,0,3643.0
24,7,M,PhD,70,Other,71,90,Assoc,0,3814.0
25,7,M,PhD,70,Other,71,91,Assoc,0,3991.0
26,7,M,PhD,70,Other,71,92,Assoc,0,4165.0
27,7,M,PhD,70,Other,71,93,Assoc,0,4286.0
28,7,M,PhD,70,Other,71,94,Assoc,0,4286.0
29,7,M,PhD,70,Other,71,95,Assoc,0,4604.0
30,8,M,PhD,75,Other,95,95,Assist,0,4047.674
31,9,M,PhD,82,Other,87,87,Assist,0,4105.0
32,9,M,PhD,82,Other,87,88,Assist,0,4105.0
33,9,M,PhD,82,Other,87,89,Assist,0,4393.0
34,9,M,PhD,82,Other,87,90,Assoc,0,4800.0
35,9,M,PhD,82,Other,87,91,Assoc,0,5022.0
36,9,M,PhD,82,Other,87,92,Assoc,0,5168.0
37,9,M,PhD,82,Other,87,93,Assoc,0,5318.0
38,9,M,PhD,82,Other,87,94,Assoc,0,5318.0
39,9,M,PhD,82,Other,87,95,Assoc,0,5472.0
40,10,M,PhD,68,Arts,80,80,Assoc,0,3250.0
41,10,M,PhD,68,Arts,80,81,Assoc,0,3671.0
42,10,M,PhD,68,Arts,80,82,Assoc,0,3831.0
43,10,M,PhD,68,Arts,80,83,Assoc,0,4042.0
44,10,M,PhD,68,Arts,80,84,Assoc,0,4317.0
45,10,M,PhD,68,Arts,80,85,Assoc,0,4317.0
46,10,M,PhD,68,Arts,80,86,Assoc,0,4708.0
47,10,M,PhD,68,Arts,80,87,Assoc,0,4944.0
48,10,M,PhD,68,Arts,80,88,Assoc,0,5015.0
49,10,M,PhD,68,Arts,80,89,Assoc,1,5846.0
50,10,M,PhD,68,Arts,80,90,Assoc,1,6120.0
51,10,M,PhD,68,Arts,80,91,Assoc,1,6590.0
52,10,M,PhD,68,Arts,80,92,Assoc,1,6781.0
53,10,M,PhD,68,Arts,80,93,Full,1,7180.0
54,10,M,PhD,68,Arts,80,94,Full,0,7180.0
55,10,M,PhD,68,Arts,80,95,Full,0,7494.0
56,12,M,PhD,64,Other,64,76,Full,0,2339.0
57,12,M,PhD,64,Other,64,77,Full,0,2502.0
58,12,M,PhD,64,Other,64,78,Full,0,2628.0
59,12,M,PhD,64,Other,64,79,Full,0,2895.0
60,12,M,PhD,64,Other,64,80,Full,0,3058.0
61,12,M,PhD,64,Other,64,81,Full,0,3417.0
